cuda_available= True
=== Ejecutando experimento: pca_only ===

============================================================
  LoL Win Condition Coach — Experiment: PCA_ONLY
============================================================
Dataset (train): 59440 filas (29720 wins, 29720 losses)
Dataset (val): 14860 filas (7430 wins, 7430 losses)
Device: cuda
Train: 59440 | Test: 14860
Parámetros: 135,868
--- INICIANDO ENTRENAMIENTO (pca_only) ---

Epoch 001 | Train: 0.5978 (ind=0.5099 team=0.0879) | Val: 0.5582 (ind=0.4796 team=0.0786) | LR: 0.000500
Epoch 002 | Train: 0.5396 (ind=0.4693 team=0.0703) | Val: 0.5210 (ind=0.4596 team=0.0614) | LR: 0.000500
Epoch 003 | Train: 0.5171 (ind=0.4560 team=0.0611) | Val: 0.5152 (ind=0.4567 team=0.0585) | LR: 0.000500
Epoch 004 | Train: 0.5089 (ind=0.4510 team=0.0579) | Val: 0.5142 (ind=0.4562 team=0.0579) | LR: 0.000500
Epoch 005 | Train: 0.5051 (ind=0.4485 team=0.0566) | Val: 0.5129 (ind=0.4553 team=0.0577) | LR: 0.000500

  Métrica                   | MSE Modelo | MSE Baseline | Mejor?
  --------------------------+------------+--------------+-------
  GoldDiff_10               |     0.9438 |       1.0065 |   OK
  XpDiff_10                 |     0.9470 |       1.0031 |   OK
  CsDiff_10                 |     0.9514 |       1.0083 |   OK
  GoldDiff_15               |     0.8859 |       1.0053 |   OK
  XpDiff_15                 |     0.8863 |       0.9967 |   OK
  CsDiff_15                 |     0.9266 |       1.0099 |   OK
  EarlyTakedowns            |     0.9606 |       1.0184 |   OK
  LaneCsBefore10            |     0.7979 |       0.8133 |   OK
  JgCsBefore10              |     0.1888 |       0.1928 |   OK
  DmgTotal                  |     0.9487 |       1.0446 |   OK
  DmgTurret                 |     0.7545 |       0.9887 |   OK
  DmgObj                    |     0.6667 |       0.9973 |   OK
  VisionScore               |     1.0027 |       1.0197 |   OK
  KillParticipation         |     1.0014 |       1.0228 |   OK
  SoloKills                 |     0.9743 |       0.9787 |   OK
  TotalCS                   |     1.0044 |       1.0276 |   OK
  GoldEarned                |     0.9483 |       1.0234 |   OK
  Team_Dragons              |     0.7341 |       0.9815 |   OK
  Team_Barons               |     0.8231 |       1.0649 |   OK
  Team_Towers               |     0.4361 |       0.9982 |   OK

  TOTAL: Modelo=1.5344 | Baseline=1.9653 | MODELO GANA (+21.9%)

Epoch 006 | Train: 0.5026 (ind=0.4467 team=0.0559) | Val: 0.5120 (ind=0.4545 team=0.0576) | LR: 0.000500
Epoch 007 | Train: 0.5015 (ind=0.4459 team=0.0556) | Val: 0.5116 (ind=0.4541 team=0.0575) | LR: 0.000500
Epoch 008 | Train: 0.5000 (ind=0.4447 team=0.0553) | Val: 0.5110 (ind=0.4535 team=0.0575) | LR: 0.000500
Epoch 009 | Train: 0.4988 (ind=0.4439 team=0.0549) | Val: 0.5105 (ind=0.4530 team=0.0575) | LR: 0.000500
Epoch 010 | Train: 0.4983 (ind=0.4435 team=0.0549) | Val: 0.5104 (ind=0.4528 team=0.0575) | LR: 0.000500

  Métrica                   | MSE Modelo | MSE Baseline | Mejor?
